system,area
Mn1Ag1F3,1.5363
Mn1Tl1F3,0.5606
K2In1Cu1F6,0.1867
Cu1Ag1F3,0.7424
Tl1Cu1F3,0.1743
Na2In1Cu1F6,1.5235
K2In1Cu1Cl6,2.1157
Na2Cu1Sb1F6,3.2026
Tl1Co1F3,0.189
Na2Cu1Sb1Cl6,5.9417
K2Nb1Ag1F6,1.0996
K2Ta1Ag1F6,4.4091
Co1Ag1F3,0.5012
Na2Ag1Sb1Cl6,2.8131
Rb2Nb1Ag1F6,3.0605
K2Cu1Sb1F6,4.003
Na2Ag1Sb1F6,2.2252
Na2Cu1Bi1F6,2.9435
Cs2Li1Ta1F6,0.5544
Rb2In1Cu1F6,1.3334
K2Cu1Bi1F6,3.6516
K2Cu1Sb1Cl6,5.7772
Na2Ga1Hg1F6,1.053
Cs2Tl1Bi1Br6,3.0559
Ni1Ag1F3,0.3968
K2In1Cu1Br6,2.2389
Rb2Mn1Hg1F6,0.504
Cs1Pb1I3,4.5789
Rb2In1Cu1Cl6,2.0665
Na2Li1Au1F6,0.4946
K2Ga1Hg1F6,0.1679
Na2In1Cu1Cl6,2.166
Na2Cu1Bi1Cl6,5.1159
Cs2Na1Cr1Cl6,0
Na2Li1Au1Cl6,2.1634
K2In1Ag1Cl6,1.0215
Rb2Li1Ta1F6,0.1665
Rb2Cu1Bi1I6,6.8831
K1Rb2Tl1Br6,0.9758
Cs1K2Ta1F6,0.6563
Na2In1Cu1Br6,2.3134
Zn1Ag1F3,0.1777
Na2Ga1Hg1Cl6,0.6906
K2Ag1Sb1F6,1.3831
K2Cu1Bi1Cl6,5.1011
K2Ag1Sb1Cl6,2.8293
Rb2Na1Cr1Cl6,0.3202
K2Na1Tl1Br6,1.2065
K2As1Au1Br6,7.9631
K2Na1Tl1I6,1.0814
Tl1Ni1F3,0.239
Cs1Rb2Ta1F6,0.4366
K2In1Ag1F6,0.3466
K2As1Au1I6,7.5537
K2Rb1Ta1F6,0.2294
K2Ag1Bi1Br6,3.7277
Cs2Tl1Bi1I6,5.4648
Cs2Hg1Sb1F6,0.2214
Na2Tl1Cu1Cl6,2.3296
Tl1Zn1F3,0.0467
Cs2Ag1Bi1I6,6.7939
Cs1Sn1Cl3,3.0453
Rb1Pb1I3,4.8896
K2Li1Au1F6,0.8734
K2Ga1Ag1F6,0.0833
Cs2Mn1Hg1F6,2.3637
Cs2Tl1Au1Cl6,2.1078
Cs1Sn1I3,6.0514
Na2Li1Bi1Br6,0.229
Na2Ta1Ag1F6,3.2996
Cs2Hg1Au1F6,2.2214
K2Ag1Bi1I6,6.8756
Cs2Tl1Co1F6,1.9341
Na2Ga1Ag1Br6,2.0438
Cs2Nb1Ag1F6,2.7533
