system,band_gap
Rb2TlGaI6,1.0849
Cs2TlInBr6,1.8255
Cs2TlInI6,1.4001
ZnAgF3,1.5852
Cs2TlGaI6,0.574
KZnF3,3.6954
K0.5Rb0.125Cs0.375GeBr3,1.907
CsGeBr3,0.767
K2PrCuCl6,2.2912
Cs2TlGaBr6,1.7459
Rb2TlGaBr6,1.6518
Rb2TlAsCl6,1.9544
K2CuBiI6,0.8293
K2AgAsCl6,1.519
Rb2CuBiI6,0.3311
K2TlInBr6,2.1232
Na2ScCuCl6,1.8393
K2CuBiBr6,0.8862
Na2PrCuCl6,3.361
Rb2GaAgBr6,0.3661
K2AgAsBr6,0.8026
Rb2PrCuBr6,1.9411
Rb2TlCoF6,2.0341
Rb2TlInI6,0.8542
K2CuSbCl6,0.6279
K2TlGaI6,0.4975
Rb2TlAsF6,2.7163
CsGeBr1.5Cl1.5,1.615
Rb2AgAsCl6,1.2952
K2TlAsBr6,1.5711
Na2ScCuF6,0.1064
Rb2SbAuBr6,0
Cs2CuTlCl6,0.109
CsHgCl3,0
KCaI0.375Cl2.625,4.637
Rb2TlAsBr6,1.2058
Rb2CuBiBr6,0.846
K2ScCuCl6,1.8772
K2ScCuF6,1.2408
Rb2LiInF6,5.2622
CsGeI3,0.635
Cs2TlCoF6,2.9239
Cs2AsTlCl6,1.576
K2PrCuBr6,2.2293
Na2YCuCl6,1.6872
Rb2LiInCl6,2.4534
Rb2YAuBr6,1.6251
K2TlInI6,0.8333
Cs2TlInCl6,2.816
Cs2TlCuCl6,0
Rb2PrCuCl6,2.3461
Rb2GaAgI6,0
Cs2TlAsF6,2.9734
Cs2YCuBr6,2.0386
K2NdCuCl6,2.4258
CsCdCl3,1.7462
Na2LiAuCl6,0
K2TlAsCl6,1.905
CsHgF3,0.7228
Cs2RbYF6,6.1978
K2TlInCl6,2.5682
Cs2RbYCl6,5.351
Cs2TlHgCl6,0.553
K0.25Rb0.125Cs0.625GeI3,0.609
Rb2PrCuI6,1.7961
CsRb2GaCl6,3.3928
Cs2SbAuBr6,0.2823
Cs2TlInF6,3.9896
Cs2LiInCl6,2.902
Cs2PrCuBr6,2.1974
CsSnBr1.875Cl1.125,0.681
K2CuSbF6,0.8543
Cs2YAuCl6,2.2263
Na2YCuF6,0
K2TlAsI6,0.8611
Cs2AlTlBr6,2.9426
Cs2LiInF6,5.227
Na2ScAgF6,1.7862
Cs2TlHgF6,0
CsCaCl2.625I0.375,4.474
Cs2YCuCl6,2.841
Rb2TlFeF6,2.9912
Cs2TlGaCl6,2.686
Na2AgAsCl6,1.4895
Cs2AlTlI6,1.5911
Na2InCuCl6,0
Rb2RhAuF6,0.4688
Rb2AgAsBr6,1.0799
Rb2PrAgF6,2.6788
Na2ScAgCl6,3.1331
Na2CuSbCl6,0.9108
CsBaBr1.125Cl1.875,4.187
Cs2AgInCl6,1.013
CsRb2GaF6,5.5393
CsK2GaCl6,3.6673
CsCdBr3,0.6968
K2RbYF6,5.6436
Na2CuSbF6,0.4668
Na2LiAuF6,0.4175
Rb2YAuI6,1.1678
K2GaAgBr6,0.0236
Rb2SbAuI6,0
K2TlGaCl6,2.5197
K2GaAgI6,0
Rb2SbAuCl6,0.3775
CsK2GaF6,5.3211
Rb2YAuCl6,2.2513
Na2LiYF6,5.4375
K2YCuCl6,2.6002
Cs2YAuF6,2.0605
Rb2YCuBr6,2.3405
CsYbF3,7.0604
K2ScAgCl6,3.248
K2RbYCl6,4.4925
CsSnCl2.25I0.75,1.686
Cs2SbAuCl6,0.4039
Cs2SbAuI6,0
Rb2AlTlBr6,2.8889
Na2NdCuCl6,1.4176
K2LiAuCl6,0
Na2LiYCl6,3.9688
KRb2AuCl6,0
K0.375Rb0.375Cs0.25GeBr3,0.661
Na2LiTlF6,3.372
Cs2TlSbF6,2.5275
Rb2YCuCl6,2.6201
Rb2TlInBr6,1.8665
Cs2KGaCl6,3.498
Cs2KAsBr6,3.0015
Cs2TaCuF6,0.4108
K2AsAuBr6,0.1518
K2PrAgF6,2.5361
Rb2TlHgCl6,0
Cs2AsAuBr6,0
K2YCuF6,0.5982
K2TlGaBr6,1.6
K2SbAuBr6,0.238
K2TlCoF6,2.5182
Cs2KAuCl6,0.2103
Rb2NaGdCl6,2.7418
K2ScAgF6,3.0351
CsBaI0.75Cl2.25,3.897
Rb2ErAgCl6,3.7293
Cs2ScAgCl6,3.23
K2YAuBr6,1.8862
Cs2TlRhF6,1.9056
K2NdAgF6,2.4403
Cs2TlSbCl6,1.862
Cs2InAgBr6,0.3104
Rb2NdCuBr6,2.2883
Na2LiBiBr6,2.9192
K2NaGdCl6,3.1345
K2AsAuCl6,0.22
CsBaI0.375Cl2.625,4.067
K2YAuI6,1.1783
Cs2KAsI6,1.885
Rb2TlAsI6,0.9148
Rb2LiTlCl6,1.5623
Rb2NaGaCl6,2.9042
Rb2NdAgF6,2.848
Cs2CoTlCl6,1.085
Na2AgAsBr6,1.0359
K2AgAsF6,2.2292
Cs2HgSbCl6,0.231
K2NaSbBr6,2.5456
K0.125Rb0.25Cs0.625SnI3,0.667
K2LiAuF6,0.4499
Na2TlCuF6,0
Rb2AlTlI6,1.8326
Rb2TaCuF6,0
Rb2LiTlF6,3.4666
K2FeHgF6,0
Cs2YCuI6,1.7212
K2TlFeF6,2.5608
Rb2BiAuCl6,0.9712
KCaCl3,4.745
Na2InCuF6,0
Rb2InAgBr6,0.2571
Cs2RbAsBr6,2.8942
Rb2TlInF6,3.6593
K2LiScF6,6.7733
RbGeBr1.5Cl1.5,0.767
Cs2AsAuI6,0
Rb2TlSbF6,2.807
Rb2BiAuF6,1.3243
KSrBr3,3.71
Cs2KGaF6,6.0476
Na2CuBiCl6,1.135
Cs2KTbCl6,5.0878
Cs2TlGaF6,4.7634
Cs2HgSbF6,0
Cs2ScTlF6,5.2805
K2TlAsF6,2.726
Cs2ScTlCl6,3.477
Rb2ScTlF6,4.9059
Cs2TaAgF6,0.2824
Cs2YAuBr6,1.863
K2NaSbI6,2.0979
Rb2CuSbCl6,0.9005
Cs2KAsF6,4.6474
RbCaCl2.25I0.75,4.251
Cs2InCuCl6,0
CsCaCl3,5.367
K2NdCuBr6,2.2312
Rb2TlSbCl6,1.9551
Cs2RbGaCl6,3.66
Rb2NaGaF6,5.9026
K2LiScCl6,3.7414
Cs2TlCuF6,0
Cs2NaDyCl6,5.0424
Cs2PrCuI6,1.7764
Rb2TlHgF6,0
Rb2NaDyCl6,5.1403
K2AlTlF6,4.7545
CsBaBr3,3.996
Rb2NaSbI6,1.8884
Rb2AgAsF6,2.3267
K2LiGdCl6,2.8434
KCaBr1.5Cl1.5,4.156
Cs2RbAsI6,2.286
Rb2ScAgCl6,3.2973
RbCaCl1.875I1.125,3.524
Cs2NaMoCl6,1.538
Rb2GaAgCl6,1.213
Na2LiBiI6,1.9141
Rb2NaSbBr6,2.5605
CsYbCl3,5.3324
K2PrAgCl6,3.4664
K2NaTlF6,3.6205
Cs2TaCuCl6,0.04
KRb2AuF6,0.7444
Rb2TlRhF6,1.9393
CsGeBr0.75Cl2.25,0.93
Cs2NaMnF6,0
Cs2YCuF6,1.4267
CsHgBr3,0
KRb2TbCl6,4.6099
Cs2KAuF6,0.788
Cs2InCuF6,0.0917
K2NaGaCl6,2.9202
Rb2FeHgF6,0.2225
K2NdAgCl6,3.4986
Rb2YAuF6,1.5261
K2LaCuCl6,2.1254
Cs2RhAuF6,0.6011
K2PrCuI6,1.8073
Cs2TlFeF6,2.9057
Na2GaAgBr6,0.0426
Rb2ScTlCl6,3.4475
Cs2AgBiI6,0.8526
